N,P,K,PointID,OC,pH,Clay,Silt,Sand
2.6,15.7,368.6,41981900,27.7,6.14,,,
2.2,6.3,448.2,42241864,20.0,6.07,,,
1.5,19.2,187.0,44162442,11.1,8.06,,,
2.5,17.8,175.2,45342510,42.4,8.0,,,
2.6,42.7,418.9,44342510,26.9,7.61,,,
6.1,80.9,463.5,44122484,64.1,7.48,,,
1.7,21.1,196.8,43962488,15.2,7.9,,,
4.4,36.2,193.6,44202498,44.4,7.1,,,
1.5,41.4,186.3,43922494,13.9,7.77,,,
1.7,37.3,247.8,44362440,16.4,7.57,,,
0.9,84.6,285.6,44062468,6.5,7.77,,,
2.8,9.3,323.6,44302438,23.0,6.53,,,
2.2,30.3,238.4,44402430,19.8,7.79,,,
2.0,5.5,38.9,44822524,18.1,5.18,,,
2.0,19.3,112.4,44922480,24.9,7.79,,,
1.3,21.1,149.8,45062500,30.5,8.07,,,
1.6,31.0,63.9,44322600,13.1,6.88,,,
1.4,8.8,636.8,44442456,14.6,7.93,,,
2.6,56.6,109.8,44262496,23.7,6.59,,,
1.6,94.2,138.7,44782504,14.5,7.73,,,
1.5,14.5,159.2,44482492,22.7,7.92,,,
2.6,74.7,495.6,44442510,21.6,7.27,,,
2.2,26.1,415.1,44242414,17.0,7.83,,,
0.8,18.1,54.2,44662456,13.2,8.07,,,
5.7,25.6,240.8,44582466,72.7,7.65,,,
3.3,72.7,273.0,44202504,29.4,6.41,,,
3.1,41.9,332.8,44342474,33.3,7.43,,,
3.2,10.0,159.0,44962522,51.6,7.67,,,
3.0,21.1,149.9,44282494,42.5,7.69,,,
4.8,87.6,213.8,44242446,54.3,7.59,,,
2.0,34.9,200.5,44242450,21.3,7.51,,,
4.9,83.7,431.1,44102480,41.1,7.52,,,
1.3,148.0,217.7,44102458,18.5,7.57,,,
1.9,11.9,352.2,44222394,13.0,7.97,,,
3.1,20.4,182.9,44162588,41.9,7.65,,,
1.1,12.6,113.4,45462504,35.4,8.15,,,
2.8,57.5,124.2,44062558,25.4,7.27,,,
2.2,10.2,58.4,44002570,23.1,7.18,,,
2.9,37.3,227.6,44022576,29.3,7.23,,,
1.4,42.4,138.3,44142562,16.0,7.22,,,
2.0,86.7,393.8,44202554,18.2,6.05,,,
3.4,50.8,202.2,42242484,32.5,6.1,,,
3.0,16.8,143.5,43622524,38.2,6.55,,,
4.0,67.5,171.2,44982564,54.6,6.67,,,
10.2,120.7,595.6,44002532,98.5,6.83,,,
0.2,7.1,97.5,44122572,85.7,8.38,,,
3.0,33.0,314.3,44162580,43.1,7.51,,,
3.2,51.4,581.3,44022536,34.1,7.58,,,
1.1,11.2,45.9,44342548,8.7,6.76,,,
3.7,11.1,87.6,43702536,32.8,7.18,,,
1.8,10.0,178.0,45042534,20.4,7.71,,,
1.6,4.5,246.8,45242518,13.6,8.03,,,
5.1,29.9,202.7,44762530,83.6,7.36,,,
1.8,9.2,96.3,45022532,30.3,7.76,,,
1.3,33.2,155.2,45122530,28.7,8.08,,,
2.3,86.1,271.9,44862512,24.0,7.38,,,
2.3,66.9,195.4,44082566,29.0,7.14,,,
1.9,6.6,59.7,44882564,24.7,5.93,,,
2.6,33.0,199.2,44242606,31.1,6.77,,,
1.4,17.4,149.8,45302512,30.4,8.05,,,
2.4,30.9,76.9,45102516,50.6,7.61,,,
2.0,39.1,160.3,45162510,46.3,7.65,,,
1.1,16.6,41.4,45502518,47.3,7.95,,,
1.6,23.7,314.4,45162502,18.7,8.03,,,
4.4,5.1,75.0,44922558,39.3,6.38,,,
3.1,46.1,156.4,44882514,30.1,6.81,,,
1.9,5.0,563.1,48182110,21.7,7.63,,,
4.3,10.0,145.4,44222512,44.9,7.48,,,
1.7,14.2,108.3,44222476,15.0,6.87,,,
1.7,6.7,281.2,43502416,11.0,8.12,,,
2.2,32.7,614.1,43582384,17.4,7.71,,,
0.9,13.3,187.9,46941586,6.5,8.06,,,
5.6,25.3,509.4,46802080,69.4,7.22,,,
1.3,17.0,576.6,46501578,12.1,7.82,,,
1.0,19.9,694.2,47141578,10.8,7.97,,,
1.6,11.8,675.2,46861592,12.2,7.79,,,
1.2,11.9,418.6,46741570,10.5,8.15,,,
2.3,17.7,304.7,44282488,21.2,7.81,,,
1.4,15.1,387.2,46761582,15.4,8.04,,,
1.4,7.1,380.4,47002082,12.7,7.92,,,
1.0,10.0,75.6,47041596,7.4,7.88,,,
1.4,4.5,546.4,46981594,13.9,8.03,,,
1.1,4.5,302.3,47001596,11.5,8.1,,,
0.9,9.4,289.6,46681578,6.9,8.14,,,
1.3,6.1,580.5,46681582,7.9,7.9,,,
2.9,23.6,322.5,47541548,26.0,7.88,,,
1.2,7.2,372.6,46881576,3.5,8.1,,,
1.6,13.7,642.3,47282098,12.2,7.72,,,
1.3,12.3,519.2,47422080,14.3,8.14,,,
0.8,5.4,193.5,47322064,11.6,8.18,,,
1.7,8.7,764.4,47362060,13.9,8.06,,,
1.6,18.2,731.5,47122072,18.0,7.82,,,
1.3,6.0,232.7,47262054,2.2,7.96,,,
1.8,52.7,511.2,47022062,14.9,7.82,,,
8.8,50.0,845.9,46822060,102.8,7.17,,,
1.8,14.8,217.5,46902058,17.8,7.94,,,
1.7,10.0,466.6,46982080,12.8,7.89,,,
1.4,13.0,552.2,47222100,14.2,7.63,,,
1.0,26.2,252.8,47122090,2.6,7.85,,,
1.4,8.2,247.4,47102080,15.0,7.9,,,
1.5,7.7,439.4,47222114,13.9,8.04,,,
1.6,6.4,432.1,47062098,13.4,7.99,,,
0.7,3.9,129.2,47721542,9.4,8.14,,,
1.0,10.7,318.6,47262108,11.5,8.12,,,
1.7,26.9,465.8,47321560,15.2,7.74,,,
1.8,14.5,241.6,47621536,21.3,7.9,,,
4.2,69.3,553.9,47541538,39.7,7.52,,,
2.4,57.7,1042.7,47601540,24.3,7.95,,,
0.8,10.2,505.0,47261568,4.5,7.94,,,
0.9,4.2,144.3,47321578,7.8,7.74,,,
1.5,3.7,448.4,46721640,17.3,8.01,,,
1.7,9.0,354.3,47081644,19.4,5.79,,,
5.4,8.4,321.5,47161642,56.9,7.45,,,
1.1,5.5,615.1,46861610,3.3,8.09,,,
3.2,11.7,358.5,47061648,27.2,7.17,,,
1.8,13.2,118.9,47261544,17.4,8.04,,,
6.1,11.8,205.1,47701570,54.4,7.7,,,
6.1,7.9,360.1,47621572,63.6,7.7,,,
0.2,3.9,55.6,47341588,1.5,8.34,,,
1.3,5.4,434.3,47361610,10.4,8.06,,,
0.7,4.5,97.6,47301568,6.3,8.26,,,
2.8,5.8,220.9,47461596,26.9,7.62,,,
1.6,7.8,443.1,47701540,15.3,8.01,,,
4.1,40.0,183.7,47441562,42.4,7.2,,,
3.9,15.3,263.6,47361542,29.1,7.7,,,
1.8,13.6,251.6,47261590,19.6,7.78,,,
0.7,5.6,201.1,47221592,6.9,8.0,,,
3.3,10.9,979.2,47181584,24.9,7.79,,,
2.0,25.1,675.9,47601610,14.2,8.13,,,
2.0,36.9,946.5,50061956,19.9,7.7,,,
2.3,20.2,684.8,49262008,20.7,7.72,,,
1.3,81.6,729.6,49921952,13.1,6.35,,,
0.7,14.0,233.4,49841970,5.9,7.86,,,
1.3,34.4,453.6,49861972,9.5,8.08,,,
1.6,13.0,673.5,49741988,14.9,7.69,,,
1.1,6.2,96.4,50121954,8.3,7.99,,,
3.1,8.0,238.9,49601964,27.6,7.55,,,
1.5,40.6,811.4,49921970,15.4,7.82,,,
1.1,28.0,295.5,49721966,8.5,7.55,,,
1.4,51.8,326.2,50061970,12.4,7.66,,,
2.1,59.6,706.4,49701980,20.9,7.98,,,
2.1,52.9,1152.3,49022006,21.5,7.82,,,
0.8,34.9,633.5,49501954,7.8,7.94,,,
1.6,10.5,552.1,47262076,16.2,7.65,,,
2.2,6.3,604.1,49741978,21.5,7.85,,,
1.3,6.1,536.8,47881990,10.6,7.82,,,
1.4,7.7,129.0,45102418,12.1,7.9,,,
1.4,7.2,904.7,47622048,13.0,8.03,,,
7.3,13.6,293.2,48481906,91.2,5.24,,,
6.8,10.1,922.3,48321900,86.9,6.99,,,
3.8,4.6,143.3,48341946,36.3,7.46,,,
2.1,5.9,135.6,48301952,22.6,6.67,,,
1.1,9.4,479.5,49561970,9.5,8.0,,,
1.1,13.8,218.3,47941974,9.4,7.37,,,
1.0,11.6,362.7,49102000,6.2,8.01,,,
1.2,9.1,704.9,48042010,12.5,7.99,,,
1.9,14.6,829.3,48061976,16.1,7.84,,,
1.9,8.2,174.3,48561906,18.5,7.64,,,
2.8,67.5,128.5,50241938,27.8,7.5,,,
1.8,84.9,809.6,49561996,16.9,7.52,,,
1.6,6.0,152.3,47981968,18.1,7.69,,,
2.1,5.5,379.1,47561948,16.3,7.95,,,
2.1,26.2,764.1,49202010,21.7,7.2,,,
0.9,4.6,389.3,48561960,8.6,8.9,,,
2.4,10.1,702.2,47921948,23.7,7.76,,,
1.4,20.4,633.4,47821962,5.6,7.91,,,
2.8,33.1,383.1,47661960,26.6,7.68,,,
1.6,72.2,438.7,47961990,15.7,7.22,,,
1.9,15.1,323.6,47441968,12.4,7.94,,,
1.6,36.8,987.4,48162004,14.5,6.37,,,
1.0,34.3,1004.0,47441950,11.4,7.94,,,
3.7,18.6,297.3,48021928,38.5,7.64,,,
2.0,6.2,133.6,47821908,35.4,6.57,,,
2.4,6.3,109.1,47681920,27.5,7.85,,,
1.9,160.1,996.0,47061972,15.4,7.26,,,
1.6,23.1,528.6,47121622,12.7,8.11,,,
4.2,29.9,498.8,47781972,33.7,7.55,,,
1.4,12.5,390.2,48681954,10.6,7.86,,,
0.8,13.7,311.2,49481970,6.4,8.21,,,
1.3,19.2,601.9,48901984,13.3,7.93,,,
1.0,11.6,400.7,48981938,6.1,8.33,,,
0.9,9.0,260.7,48901966,10.5,8.1,,,
0.8,5.4,265.1,48781976,5.1,8.35,,,
0.8,25.5,281.3,48961954,4.2,8.06,,,
0.9,9.0,185.7,48421972,8.4,7.85,,,
0.6,5.1,332.4,48781948,1.4,8.92,,,
1.2,31.5,747.8,47342092,12.6,7.92,,,
1.8,10.6,252.6,48801926,17.7,7.88,,,
1.6,15.9,781.8,48421994,15.9,8.13,,,
0.9,6.3,272.9,48241984,12.6,8.06,,,
1.1,10.7,503.4,48182008,10.9,6.68,,,
1.2,43.4,489.5,48202014,11.4,7.61,,,
2.1,9.3,775.2,48161994,21.0,7.8,,,
1.3,25.3,415.7,48881958,11.5,8.15,,,
2.5,34.4,417.3,46682132,23.3,7.43,,,
2.9,103.6,151.5,44022618,22.8,6.98,,,
1.9,44.9,122.4,41522376,21.0,7.58,,,
2.1,25.6,642.1,47162116,18.1,7.94,,,
1.2,9.3,584.3,47042114,8.2,8.37,,,
2.8,33.7,487.2,46602150,35.7,7.68,,,
1.3,9.0,196.1,46622134,5.5,7.93,,,
2.5,6.5,59.5,41322390,19.8,7.88,,,
3.2,52.9,766.8,46562146,28.3,7.81,,,
2.6,11.2,234.6,41682400,21.9,7.64,,,
7.5,25.9,490.4,46742110,83.8,7.36,,,
1.2,11.2,288.2,46922116,10.6,8.1,,,
3.3,47.7,71.4,44082612,28.3,6.29,,,
4.0,115.2,325.0,43782612,33.0,6.31,,,
6.4,98.4,305.4,43962614,55.1,5.56,,,
2.3,48.5,357.9,46842138,19.5,7.95,,,
2.7,68.0,157.2,41342376,20.7,6.05,,,
1.5,4.0,557.7,47221618,18.9,7.83,,,
2.1,93.1,630.3,42122498,18.9,6.56,,,
2.7,14.7,90.6,41942498,27.1,4.8,,,
3.0,10.6,146.0,41802494,24.0,4.64,,,
1.2,8.0,92.9,41902558,8.9,5.17,,,
1.6,47.6,221.6,41302380,11.7,6.29,,,
2.5,5.1,142.2,41622372,30.9,6.28,,,
2.8,133.9,286.6,41382384,19.2,5.46,,,
3.0,79.0,234.7,44062594,23.6,6.94,,,
3.5,11.2,270.2,41362374,26.8,7.57,,,
2.4,43.2,253.3,41522386,19.0,6.35,,,
1.9,22.5,194.5,41442372,17.3,7.47,,,
2.2,28.7,136.8,41342398,18.2,7.81,,,
2.5,61.7,238.6,41502390,16.9,5.5,,,
2.4,128.7,355.3,41362364,18.5,5.57,,,
1.4,31.5,120.4,41442404,9.5,6.21,,,
2.6,65.8,187.5,43862362,23.6,6.62,,,
0.9,16.4,39.2,44482626,7.0,6.49,,,
1.5,20.4,258.3,41922438,10.6,7.54,,,
1.7,8.3,246.6,41902446,15.7,8.16,,,
1.2,7.8,156.5,42262432,7.1,8.1,,,
1.5,34.3,80.8,42002438,12.9,6.63,,,
1.3,11.6,210.2,47641678,11.2,6.38,,,
1.3,7.4,194.4,45322284,9.2,8.11,,,
2.1,16.4,266.8,43662400,15.9,7.81,,,
1.3,11.1,177.4,48561838,55.7,7.47,,,
1.9,15.8,156.2,43462422,15.0,7.96,,,
1.8,23.3,135.6,43562426,16.5,7.83,,,
3.6,64.3,552.4,43822404,31.3,7.32,,,
2.5,24.9,350.4,43582402,26.6,7.76,,,
2.9,11.1,150.5,43602380,24.4,7.51,,,
2.7,23.5,282.6,43802388,22.0,7.6,,,
1.4,6.3,250.5,45762290,9.2,8.08,,,
1.8,7.2,510.2,47442054,13.4,8.02,,,
1.7,10.4,300.6,45302290,13.4,7.71,,,
1.3,8.2,177.9,45402290,12.2,7.91,,,
3.4,10.1,211.3,45122296,34.8,7.7,,,
3.2,24.9,233.9,45182308,37.6,7.59,,,
1.0,5.7,291.6,45242302,12.5,8.4,,,
1.6,10.8,324.8,45382276,17.4,7.81,,,
0.6,5.7,177.3,45482304,0.1,8.38,,,
1.6,8.4,396.2,49181804,12.7,8.0,,,
1.1,15.3,301.7,45602298,4.7,8.22,,,
2.3,7.3,213.8,48561852,32.8,6.52,,,
3.7,14.7,275.9,48461858,53.7,7.75,,,
1.9,10.9,647.5,48241876,17.8,6.36,,,
1.8,15.5,222.0,48441830,18.8,7.1,,,
1.8,21.2,131.5,48561828,17.8,7.66,,,
1.9,15.1,319.3,45442296,23.0,8.02,,,
2.4,6.2,270.9,46181662,16.1,7.02,,,
0.8,5.9,201.2,45821652,7.0,7.67,,,
1.2,4.5,284.3,46121612,15.1,7.97,,,
3.4,6.4,532.8,46381666,30.8,7.44,,,
1.8,4.0,309.0,46321654,12.8,7.86,,,
2.4,6.1,433.5,46181658,23.4,7.82,,,
1.3,11.0,352.2,46461650,10.7,7.91,,,
1.2,7.7,310.6,46241610,10.1,8.1,,,
2.6,36.3,264.2,46381642,24.1,6.89,,,
1.6,6.8,360.8,46381594,17.0,7.93,,,
1.5,3.7,264.3,46581654,11.3,8.03,,,
1.1,5.4,167.5,46401640,7.2,8.0,,,
2.2,4.9,311.2,46681664,15.6,7.85,,,
1.3,6.6,435.0,45481638,10.0,7.83,,,
2.7,137.1,742.6,46441648,20.4,7.58,,,
0.9,9.0,285.2,45661624,11.1,7.81,,,
4.3,26.1,404.3,43662364,41.4,7.36,,,
0.4,3.9,37.7,47161630,3.7,7.36,,,
1.7,5.6,360.2,47501628,15.4,7.94,,,
1.0,5.6,59.1,47701630,9.6,6.64,,,
1.1,5.2,394.2,45941624,11.0,8.07,,,
2.3,19.1,549.8,46141618,23.1,7.8,,,
0.7,7.0,80.3,45901624,18.7,8.1,,,
1.0,14.7,351.8,45461626,8.8,8.35,,,
1.8,10.8,446.2,45781636,15.2,7.83,,,
1.4,12.2,398.8,45581630,11.4,8.01,,,
1.2,4.8,209.3,45841630,9.9,7.87,,,
1.6,7.2,610.8,46381602,12.2,7.65,,,
1.4,4.6,490.1,46321600,8.5,7.6,,,
1.3,4.6,489.2,46281596,14.1,7.63,,,
2.7,13.4,408.2,45921620,32.0,7.72,,,
2.7,21.4,560.5,46181644,26.1,7.4,,,
2.0,85.9,399.6,48861774,19.7,4.7,,,
3.9,123.6,486.3,48761776,38.8,7.5,,,
4.8,27.8,135.3,48881748,74.8,5.27,,,
2.9,14.1,380.5,48821792,26.4,5.98,,,
1.4,6.8,403.1,46762130,10.3,7.99,,,
2.2,8.7,314.2,48941776,21.3,7.67,,,
1.6,9.9,345.8,49081786,12.6,7.89,,,
1.2,4.6,287.9,49341818,8.5,8.38,,,
1.8,12.7,267.3,49301830,13.6,7.85,,,
1.8,5.1,323.5,49281816,13.5,7.88,,,
1.4,15.4,92.3,49101820,13.0,6.28,,,
2.0,6.8,322.2,48701788,18.9,7.07,,,
1.6,14.4,226.2,48621740,16.2,6.09,,,
1.6,19.0,596.7,45541648,13.1,7.75,,,
0.9,13.0,298.1,45541652,8.8,7.48,,,
1.2,6.6,353.1,45721660,8.9,7.61,,,
1.9,5.0,481.7,46101646,13.5,7.43,,,
1.5,14.3,427.7,45561664,12.7,7.75,,,
3.1,10.1,368.9,48521712,29.7,5.61,,,
1.2,4.2,427.0,46821620,0.2,8.11,,,
2.7,87.5,588.9,48501738,24.6,6.99,,,
1.8,21.6,104.9,48341680,14.9,4.87,,,
1.1,7.0,50.4,48241678,9.7,6.12,,,
6.1,50.4,224.9,48721732,79.8,4.7,,,
2.1,24.5,325.7,48641742,21.7,6.35,,,
4.5,142.3,290.1,48461724,41.8,6.53,,,
1.3,22.1,309.3,45222326,11.4,8.17,,,
4.1,8.9,82.7,41622488,57.6,3.84,,,
1.3,16.8,54.4,41522470,8.6,5.75,,,
3.8,16.8,73.9,41382456,27.9,5.37,,,
1.7,24.8,58.1,41442462,13.4,5.49,,,
1.6,77.8,85.5,41602484,13.2,7.2,,,
1.7,29.8,81.1,41622476,12.6,4.53,,,
1.5,30.4,96.5,41422430,11.5,6.97,,,
1.3,15.4,176.8,41542428,8.6,5.6,,,
1.3,31.4,57.4,41542482,9.2,4.24,,,
1.4,18.1,98.2,41522430,9.5,5.4,,,
1.3,21.8,51.6,41162430,10.2,6.42,,,
3.6,21.6,160.2,41142432,28.9,4.85,,,
2.9,15.5,216.0,41202438,25.2,5.37,,,
1.6,56.2,78.6,41262440,9.9,5.09,,,
1.0,53.7,37.4,41322426,6.6,4.38,,,
3.7,22.7,90.2,42502538,33.9,5.4,,,
1.7,34.4,255.6,42302452,14.7,6.1,,,
0.9,30.4,40.6,42362456,7.5,6.49,,,
1.3,11.8,102.8,42362442,11.0,7.84,,,
4.0,54.9,450.5,42322510,45.1,6.37,,,
2.3,55.9,80.9,42462478,18.0,5.93,,,
1.4,18.6,107.6,42342480,9.0,5.46,,,
1.7,16.5,240.4,41622458,12.0,5.1,,,
4.3,21.1,103.7,42402504,44.6,4.34,,,
1.5,10.7,73.7,41502450,10.1,7.78,,,
4.7,16.4,88.4,42522534,51.2,4.91,,,
1.2,20.5,148.1,42582432,11.6,7.72,,,
1.8,42.5,276.1,41482416,13.1,6.73,,,
2.1,35.0,110.6,41582462,14.8,6.62,,,
2.8,35.5,148.8,41502436,24.5,7.37,,,
3.7,12.2,128.6,41242466,44.6,5.27,,,
5.2,21.5,260.8,42422520,48.1,5.72,,,
2.6,19.8,83.2,41862472,21.1,5.39,,,
3.4,42.2,388.1,41442444,32.4,7.1,,,
1.3,5.7,40.4,41362410,15.2,7.78,,,
1.4,11.8,78.8,41522416,14.1,5.61,,,
2.1,5.2,60.1,41522412,21.1,4.66,,,
2.0,21.2,104.0,41082390,22.4,4.48,,,
1.5,27.0,77.6,42062452,10.8,6.45,,,
2.8,12.1,188.8,41042398,25.5,5.03,,,
1.6,11.8,79.1,41942462,10.9,5.23,,,
3.2,24.3,130.2,41302368,23.2,6.31,,,
2.0,33.4,176.2,41762476,15.6,4.8,,,
1.9,9.2,230.1,41722446,14.4,7.79,,,
2.0,22.9,167.2,41982480,16.0,4.94,,,
1.8,21.2,102.5,41802462,14.7,5.32,,,
1.7,15.9,99.8,42002468,14.7,7.05,,,
1.6,95.2,135.5,41702430,12.1,7.21,,,
1.6,36.1,110.8,41222408,11.5,5.69,,,
4.2,20.4,83.0,42242502,47.8,3.98,,,
1.0,13.4,38.1,41242442,7.9,7.5,,,
0.9,35.1,145.8,41442422,6.0,5.57,,,
2.3,11.8,32.3,41242384,24.8,7.27,,,
2.4,20.9,46.0,41122412,15.8,6.06,,,
4.2,23.0,99.9,41062406,33.3,4.64,,,
4.1,16.7,446.8,41302362,38.3,6.37,,,
1.1,18.1,169.1,41562402,9.8,7.7,,,
3.4,59.6,250.6,41242460,32.2,6.15,,,
1.4,7.1,47.4,41162386,11.7,5.89,,,
1.9,54.7,204.3,41182396,17.2,6.44,,,
3.2,24.6,62.7,41222398,25.3,6.11,,,
2.4,13.2,63.1,41122362,20.4,5.63,,,
2.3,7.1,84.0,41142364,24.1,4.44,,,
2.4,6.3,70.4,41202370,15.8,5.81,,,
2.2,50.1,202.3,41222390,16.1,6.6,,,
2.9,28.2,198.8,45582548,34.4,7.56,,,
1.5,59.2,37.9,43222466,11.3,6.92,,,
2.1,6.2,63.0,45462542,68.1,7.4,,,
2.8,43.5,122.8,45482530,42.8,7.87,,,
1.1,6.0,142.5,45182534,14.5,8.05,,,
1.6,4.6,66.3,45202532,40.5,7.87,,,
2.6,24.7,169.7,45362566,49.8,7.58,,,
1.9,20.1,176.9,45542548,15.8,7.37,,,
1.6,26.2,88.1,45542560,19.7,7.74,,,
2.1,21.4,69.8,45382546,84.5,7.48,,,
3.0,20.0,184.3,45562556,29.3,7.45,,,
2.2,126.6,299.7,43342446,15.5,7.05,,,
2.2,57.3,249.9,43022470,15.3,7.75,,,
1.3,28.0,202.9,43182456,8.7,5.88,,,
1.4,57.5,401.1,43062462,9.5,5.77,,,
3.8,27.5,126.3,42182510,42.9,4.77,,,
1.4,5.1,72.7,45282544,51.7,7.72,,,
8.7,18.7,57.8,45662592,153.0,7.05,,,
1.9,32.6,170.4,45702538,18.5,7.49,,,
3.6,14.0,134.1,45842538,42.7,7.72,,,
2.2,45.2,361.7,45742550,22.6,5.25,,,
2.1,12.3,114.4,45742532,26.0,7.9,,,
2.1,12.2,260.8,45822522,28.8,7.99,,,
1.6,38.2,264.8,45922538,28.2,7.79,,,
1.4,16.0,107.3,45382538,25.4,7.86,,,
3.0,37.8,183.3,45822558,28.6,7.22,,,
1.8,39.0,120.3,43202452,12.1,6.65,,,
1.2,33.7,100.3,45702564,9.1,6.22,,,
1.5,22.0,159.4,45602518,32.9,8.04,,,
3.3,5.4,50.4,45562568,32.8,6.0,,,
1.4,3.7,35.8,45482566,49.6,7.79,,,
8.7,20.0,127.9,45382568,81.3,7.24,,,
4.1,20.2,183.4,45422554,94.2,7.39,,,
2.8,31.3,228.5,45882538,24.7,7.19,,,
2.2,46.1,375.2,42782502,21.2,7.1,,,
1.0,56.8,168.3,43042466,6.8,6.62,,,
1.9,7.7,145.1,42942490,14.9,7.48,,,
1.5,49.5,114.7,42782466,10.5,6.73,,,
1.6,54.6,149.6,42922458,11.7,7.04,,,
2.2,34.8,173.8,42822448,16.6,7.13,,,
2.7,32.2,65.0,42582504,25.7,6.36,,,
2.6,29.9,170.5,42902496,23.2,6.82,,,
2.0,13.5,283.0,42662506,16.8,4.91,,,
2.9,66.3,91.5,42762490,17.6,6.33,,,
2.0,101.0,318.8,42622450,16.4,6.11,,,
1.4,12.3,136.4,42902510,12.6,5.8,,,
4.7,27.0,90.6,42722532,49.4,4.55,,,
1.6,34.7,205.5,42482476,13.2,4.99,,,
1.7,51.1,227.3,42262490,12.8,5.28,,,
3.5,20.0,103.2,42722500,41.5,6.68,,,
2.0,31.8,212.5,43322494,14.4,7.6,,,
1.8,73.4,330.8,43342454,11.4,6.06,,,
1.9,59.2,116.6,43402460,18.9,7.58,,,
2.1,9.1,92.4,43062480,18.0,7.69,,,
2.5,103.7,236.3,43362478,56.7,7.17,,,
2.0,52.0,197.9,43182496,17.3,5.87,,,
3.2,125.7,438.3,43042502,27.2,7.12,,,
1.6,21.0,113.7,42782484,11.1,6.29,,,
1.6,30.6,133.3,43042496,11.3,6.81,,,
1.1,67.4,179.4,42402468,7.1,4.64,,,
1.9,13.7,80.8,43022488,34.0,7.65,,,
2.4,68.9,236.8,43322476,15.3,6.72,,,
1.5,33.3,95.4,43182478,10.1,6.07,,,
2.6,86.0,327.5,43042484,19.0,7.23,,,
3.2,8.5,41.2,42622490,31.4,5.96,,,
2.5,55.2,134.3,42662462,22.6,6.5,,,
8.1,98.6,359.2,43162536,61.5,6.79,,,
1.7,4.8,506.0,44482384,8.8,7.96,,,
1.2,7.5,502.8,46921612,10.2,8.02,,,
5.4,14.5,283.4,45242262,84.5,7.29,,,
2.2,19.1,80.0,41382474,15.6,4.94,,,
1.4,24.7,104.3,42262410,9.0,5.55,,,
2.7,81.1,207.5,42582462,22.4,5.94,,,
2.9,39.5,350.9,44702406,29.9,7.2,,,
2.4,19.9,445.7,48721864,20.1,7.5,,,
1.7,5.4,544.6,49261804,13.1,7.8,,,
6.1,23.2,173.4,41722504,68.4,5.35,,,
1.0,19.2,844.7,47602098,10.9,6.47,,,
1.0,12.5,233.9,45682288,11.0,7.89,,,
1.8,51.7,477.4,44662352,16.4,7.57,,,
1.3,11.9,670.0,46901572,15.0,7.66,,,
2.2,57.4,573.6,43022422,17.5,7.39,,,
3.3,37.5,1043.3,49221990,37.8,7.06,,,
3.0,30.1,1150.4,45602204,23.4,7.48,,,
3.1,7.1,833.0,48442016,32.3,7.28,,,
0.8,4.2,44.8,45102540,37.6,7.82,,,
2.4,4.6,264.5,41981944,26.5,5.9,,,
1.7,41.9,95.7,42882480,13.1,6.43,,,
3.8,9.5,161.7,42922512,46.0,4.69,,,
1.4,12.2,152.9,42002460,12.3,6.14,,,
1.5,33.1,318.1,44782366,14.9,7.67,,,
1.3,8.8,267.6,42702434,10.7,7.68,,,
1.6,12.4,80.5,43262410,12.8,4.97,,,
1.4,13.7,186.3,44342402,10.8,7.48,,,
2.3,4.9,705.9,46801570,24.5,7.52,,,
2.1,14.5,186.7,44122556,26.0,7.31,,,
1.5,3.4,532.8,42181938,15.4,7.44,,,
1.3,5.4,249.2,44122294,10.4,7.84,,,
1.9,23.9,107.8,44442154,20.2,6.08,,,
1.3,5.1,160.2,46302120,6.6,7.69,,,
1.1,5.4,334.0,45682284,8.3,8.05,,,
0.8,8.6,235.6,44782216,7.4,7.79,,,
2.2,6.4,173.9,44982226,23.0,7.33,,,
1.0,3.6,74.7,44882492,8.6,7.67,,,
5.3,16.9,41.7,31703504,49.2,7.17,,,
17.9,31.6,20.2,31803664,429.7,3.93,,,
24.1,68.6,325.4,31803658,411.5,4.07,,,
15.8,52.9,310.9,31743648,520.1,4.08,,,
21.5,73.1,675.2,31003478,517.6,4.92,,,
11.2,10.0,23.8,31503550,560.1,3.94,,,
9.0,42.0,367.7,31703558,96.2,4.48,,,
9.0,44.3,285.8,32023576,109.9,6.12,,,
16.1,28.1,338.9,30843616,550.5,4.25,,,
15.9,54.7,281.9,31243524,214.1,4.82,,,
6.6,98.0,88.2,30983582,102.1,4.4,,,
5.6,79.0,113.4,31883474,56.9,7.1,,,
10.4,20.3,108.8,30903564,138.0,4.87,,,
21.1,18.0,55.4,31423488,404.3,3.99,,,
13.8,146.5,278.6,30623522,216.7,4.6,,,
10.7,39.8,128.5,30943536,110.7,7.3,,,
17.8,126.7,205.2,31083514,321.4,5.59,,,
14.8,17.7,106.6,30983510,555.5,3.95,,,
25.0,21.2,277.7,30663634,446.9,4.56,,,
3.1,17.0,45.5,31903694,57.6,4.64,,,
17.3,34.4,450.5,31783686,524.3,4.05,,,
14.3,62.1,537.7,31863682,386.5,4.33,,,
11.8,25.1,32.2,31603686,453.4,3.59,,,
22.4,78.9,186.7,31203598,293.7,4.36,,,
15.7,28.2,260.7,31523558,530.6,4.03,,,
6.4,31.5,76.4,31563616,91.7,4.18,,,
23.7,51.4,256.4,30983522,518.1,3.88,,,
7.5,42.8,273.3,32423468,143.7,5.0,,,
6.2,36.0,85.1,31823512,53.8,4.98,,,
