N,P,K,PointID,OC,pH,Clay,Silt,Sand
9.4,59.7,417.5,33783424,99.9,4.21,15.0,56.0,29.0
3.8,23.9,42.3,34343688,80.4,5.11,7.0,34.0,59.0
10.2,88.6,417.3,34043428,114.3,4.93,15.0,62.0,22.0
3.9,18.8,148.7,33903662,36.8,5.45,12.0,44.0,44.0
3.8,26.9,209.6,34083688,33.8,4.07,18.0,49.0,33.0
9.5,42.2,232.3,32883682,92.4,4.87,14.0,51.0,35.0
6.0,42.5,123.0,32703676,64.1,5.18,24.0,54.0,22.0
3.6,21.6,47.5,32403658,38.1,4.77,10.0,51.0,39.0
3.7,29.9,80.4,32283648,38.0,4.65,9.0,54.0,37.0
5.7,85.8,205.5,32243630,64.6,4.64,10.0,51.0,40.0
4.3,15.1,104.3,32723634,41.9,5.32,23.0,55.0,23.0
6.3,38.3,179.9,35163414,64.8,4.14,12.0,51.0,37.0
4.2,15.9,34.4,33283122,34.1,6.2,23.0,48.0,29.0
4.7,73.1,114.8,34403708,48.0,5.0,12.0,47.0,41.0
4.5,44.9,163.9,34843884,62.3,4.02,10.0,50.0,39.0
1.7,8.9,76.0,50642910,18.8,4.8,18.0,48.0,33.0
1.6,65.1,368.2,52142920,15.8,6.17,25.0,61.0,14.0
1.9,27.5,115.3,50602934,19.7,6.03,25.0,46.0,29.0
3.2,12.7,67.9,50102914,47.1,4.31,10.0,38.0,52.0
2.4,7.2,63.4,48822884,22.5,5.63,15.0,51.0,34.0
2.2,25.2,310.3,49242832,18.9,7.42,33.0,56.0,11.0
2.4,23.0,261.7,49402872,23.6,6.62,28.0,59.0,13.0
3.7,15.6,186.3,49702880,42.8,5.55,17.0,58.0,25.0
3.1,7.2,40.4,50222920,91.3,7.51,6.0,37.0,57.0
1.3,26.0,133.1,50522866,11.2,5.98,33.0,55.0,12.0
2.0,48.3,165.3,49542830,17.5,6.97,37.0,49.0,14.0
3.4,17.9,730.7,49642882,44.7,5.6,25.0,52.0,23.0
2.3,8.6,44.5,50002954,19.2,5.04,20.0,48.0,32.0
3.1,7.3,121.6,50142948,30.2,4.63,33.0,55.0,12.0
1.8,9.2,152.8,51542896,14.6,7.3,29.0,55.0,17.0
1.3,20.1,111.5,51362950,8.8,6.15,24.0,47.0,29.0
2.4,11.1,38.0,51002942,20.1,4.88,13.0,43.0,44.0
2.4,7.8,89.4,50302926,20.6,5.11,31.0,57.0,12.0
1.4,5.5,101.0,50602888,11.6,5.14,13.0,44.0,43.0
6.2,22.8,404.8,50562924,88.9,5.33,11.0,34.0,55.0
2.7,14.5,134.0,50322912,31.5,5.44,11.0,37.0,53.0
1.7,8.9,66.9,50562928,28.7,7.26,15.0,36.0,49.0
3.4,8.4,55.4,46742602,40.6,5.0,21.0,55.0,24.0
6.7,31.4,98.0,47262606,134.8,3.66,8.0,37.0,55.0
5.0,8.3,180.3,46842602,54.4,5.6,22.0,63.0,15.0
9.7,12.0,199.0,46682546,119.8,6.3,21.0,65.0,14.0
12.5,23.3,127.6,47102628,220.6,3.92,7.0,46.0,46.0
4.2,24.9,63.8,47162614,58.8,4.12,15.0,44.0,41.0
5.0,22.3,99.8,47242610,97.4,3.78,11.0,50.0,39.0
4.2,24.5,147.2,47382606,41.7,5.08,9.0,41.0,50.0
2.4,4.4,88.5,47442606,39.5,4.74,16.0,49.0,34.0
2.9,18.8,76.5,47302608,41.7,5.57,8.0,41.0,51.0
5.1,18.2,77.7,47182610,125.2,3.56,14.0,50.0,36.0
4.5,10.7,87.5,47442612,77.9,4.08,14.0,54.0,32.0
6.5,11.3,66.3,46882592,152.2,7.15,12.0,59.0,28.0
7.7,7.9,146.1,46802588,80.1,5.25,22.0,60.0,17.0
11.4,17.9,98.0,46762518,159.7,6.89,15.0,63.0,22.0
2.6,5.5,43.1,46302578,30.7,6.55,10.0,23.0,66.0
4.5,10.0,60.2,46362588,66.3,5.15,21.0,61.0,17.0
3.8,4.5,50.8,46702512,61.1,6.58,24.0,61.0,15.0
7.0,22.5,61.9,46362570,94.1,3.76,21.0,59.0,20.0
6.6,31.2,263.3,46562596,128.2,3.9,6.0,25.0,69.0
17.9,22.1,183.4,46882520,245.1,6.81,10.0,49.0,41.0
3.0,3.6,74.7,46982506,39.1,4.44,26.0,62.0,12.0
5.7,7.2,92.1,46622506,90.6,6.88,22.0,58.0,21.0
8.8,11.3,126.3,46702502,135.3,7.04,20.0,60.0,20.0
13.1,22.0,161.4,46542526,170.6,6.92,15.0,62.0,23.0
22.4,63.9,327.7,46702596,441.9,4.8,4.0,20.0,76.0
6.3,16.9,88.0,46082606,87.4,3.88,16.0,64.0,20.0
4.5,8.5,92.3,46122606,70.0,5.54,24.0,55.0,21.0
6.0,17.9,158.8,46382502,62.9,7.24,28.0,62.0,11.0
23.0,45.4,368.9,46282600,432.8,4.49,5.0,33.0,62.0
4.2,10.0,70.6,46542598,70.7,6.86,23.0,58.0,19.0
15.6,38.8,240.0,46342584,325.7,4.56,9.0,42.0,48.0
6.6,15.1,133.9,46282592,102.9,6.26,18.0,64.0,18.0
4.7,20.2,74.5,46302588,68.2,4.63,15.0,51.0,33.0
9.1,19.5,131.6,46182544,115.3,5.2,16.0,67.0,17.0
2.2,7.7,29.8,46402522,33.6,4.34,14.0,39.0,48.0
19.1,48.4,364.9,46082588,378.3,6.53,5.0,34.0,61.0
8.5,11.2,154.1,46222554,116.9,6.85,23.0,60.0,17.0
8.5,10.3,162.1,46302542,124.8,6.22,18.0,64.0,18.0
3.8,4.8,206.6,46242604,47.5,5.14,40.0,53.0,8.0
0.6,16.9,21.7,49104984,14.2,4.41,6.0,26.0,68.0
12.6,36.3,497.9,48685050,497.3,4.38,1.0,7.0,92.0
0.8,9.0,21.0,47185040,16.4,4.05,6.0,23.0,71.0
2.4,26.0,84.2,46805054,30.7,5.0,10.0,51.0,39.0
1.1,26.8,15.0,48265034,26.9,4.33,13.0,42.0,45.0
0.2,10.4,25.2,48525072,2.9,4.75,9.0,19.0,72.0
0.5,7.0,16.9,48505068,9.5,4.4,4.0,18.0,79.0
1.1,39.9,20.3,48585066,24.3,4.33,6.0,26.0,69.0
0.5,19.4,6.2,48585070,8.9,4.47,6.0,30.0,64.0
0.5,20.0,17.1,47545012,9.5,4.5,6.0,23.0,71.0
0.7,31.3,13.1,48665052,13.0,4.69,5.0,23.0,73.0
13.6,80.8,503.7,47144998,517.2,3.84,1.0,6.0,93.0
0.6,8.4,7.9,48845030,11.6,4.34,4.0,23.0,74.0
0.4,43.3,8.0,48745020,7.6,4.84,4.0,15.0,81.0
0.3,11.2,8.0,46364808,2.8,5.2,9.0,55.0,36.0
1.2,46.2,23.5,46644842,22.2,4.16,6.0,29.0,66.0
0.9,22.9,26.4,46544812,12.8,4.48,15.0,40.0,45.0
